partido_id,jugador_id,titular
P-001,URU-1,true
P-001,URU-2,true
P-001,URU-6,true
P-001,URU-5,true
P-001,URU-3,true
P-001,URU-16,true
P-001,URU-10,true
P-001,URU-11,true
P-001,URU-21,true
P-001,URU-22,true
P-001,URU-20,true
P-001,KSA-1,true
P-001,KSA-3,true
P-001,KSA-2,true
P-001,KSA-4,true
P-001,KSA-5,true
P-001,KSA-14,true
P-001,KSA-15,true
P-001,KSA-10,true
P-001,KSA-20,true
P-001,KSA-24,true
P-001,KSA-25,true
P-001,URU-25,false
P-001,URU-13,false
P-001,URU-8,false
P-001,KSA-18,false
P-001,KSA-9,false
P-001,KSA-7,false
P-001,KSA-21,false
P-001,KSA-8,false
P-002,ARG-23,true
P-002,ARG-2,true
P-002,ARG-5,true
P-002,ARG-3,true
P-002,ARG-4,true
P-002,ARG-10,true
P-002,ARG-14,true
P-002,ARG-11,true
P-002,ARG-26,true
P-002,ARG-20,true
P-002,ARG-24,true
P-002,JOR-23,true
P-002,JOR-9,true
P-002,JOR-7,true
P-002,JOR-4,true
P-002,JOR-5,true
P-002,JOR-15,true
P-002,JOR-10,true
P-002,JOR-11,true
P-002,JOR-25,true
P-002,JOR-21,true
P-002,JOR-20,true
P-002,ARG-9,false
P-002,ARG-8,false
P-002,ARG-13,false
P-002,ARG-25,false
P-002,JOR-17,false
P-002,JOR-22,false
P-002,JOR-2,false
P-002,JOR-16,false
P-002,JOR-26,false
P-003,PAR-23,true
P-003,PAR-2,true
P-003,PAR-3,true
P-003,PAR-9,true
P-003,PAR-6,true
P-003,PAR-10,true
P-003,PAR-14,true
P-003,PAR-17,true
P-003,PAR-25,true
P-003,PAR-22,true
P-003,PAR-24,true
P-003,USA-12,true
P-003,USA-6,true
P-003,USA-2,true
P-003,USA-4,true
P-003,USA-3,true
P-003,USA-11,true
P-003,USA-10,true
P-003,USA-13,true
P-003,USA-22,true
P-003,USA-21,true
P-003,USA-20,true
P-003,PAR-7,false
P-003,PAR-21,false
P-003,PAR-20,false
P-003,PAR-18,false
P-003,PAR-11,false
P-003,USA-25,false
P-003,USA-26,false
P-003,USA-7,false
P-003,USA-8,false
P-003,USA-15,false
P-004,MEX-12,true
P-004,MEX-2,true
P-004,MEX-3,true
P-004,MEX-7,true
P-004,MEX-4,true
P-004,MEX-16,true
P-004,MEX-10,true
P-004,MEX-11,true
P-004,MEX-20,true
P-004,MEX-21,true
P-004,MEX-26,true
P-004,CZE-12,true
P-004,CZE-5,true
P-004,CZE-8,true
P-004,CZE-4,true
P-004,CZE-6,true
P-004,CZE-16,true
P-004,CZE-10,true
P-004,CZE-18,true
P-004,CZE-22,true
P-004,CZE-21,true
P-004,CZE-24,true
P-004,MEX-22,false
P-004,MEX-19,false
P-004,MEX-14,false
P-004,MEX-17,false
P-004,CZE-7,false
P-004,CZE-15,false
P-004,CZE-14,false
P-005,KOR-1,true
P-005,KOR-4,true
P-005,KOR-2,true
P-005,KOR-5,true
P-005,KOR-3,true
P-005,KOR-19,true
P-005,KOR-10,true
P-005,KOR-11,true
P-005,KOR-20,true
P-005,KOR-22,true
P-005,KOR-24,true
P-005,RSA-23,true
P-005,RSA-9,true
P-005,RSA-8,true
P-005,RSA-6,true
P-005,RSA-2,true
P-005,RSA-10,true
P-005,RSA-13,true
P-005,RSA-11,true
P-005,RSA-26,true
P-005,RSA-24,true
P-005,RSA-25,true
P-005,KOR-17,false
P-005,KOR-26,false
P-005,KOR-6,false
P-005,RSA-21,false
P-005,RSA-22,false
P-005,RSA-4,false
P-005,RSA-5,false
P-005,RSA-7,false
P-006,SUI-1,true
P-006,SUI-4,true
P-006,SUI-2,true
P-006,SUI-3,true
P-006,SUI-6,true
P-006,SUI-10,true
P-006,SUI-18,true
P-006,SUI-13,true
P-006,SUI-20,true
P-006,SUI-21,true
P-006,SUI-22,true
P-006,BIH-1,true
P-006,BIH-3,true
