id,partido_id,tipo,minuto
E-0001,P-001,Gol,12
E-0002,P-001,Tarjeta Amarilla,34
E-0003,P-001,Tarjeta Amarilla,45
E-0004,P-001,Sustitución,48
E-0005,P-001,Sustitución,50
E-0006,P-001,Gol,50
E-0007,P-001,Sustitución,52
E-0008,P-001,Sustitución,55
E-0009,P-001,Sustitución,56
E-0010,P-001,Tarjeta Amarilla,59
E-0011,P-001,Gol,60
E-0012,P-001,Sustitución,61
E-0013,P-001,Sustitución,61
E-0014,P-001,Sustitución,62
E-0015,P-001,Tarjeta Amarilla,82
E-0016,P-002,Gol,15
E-0017,P-002,Sustitución,48
E-0018,P-002,Sustitución,49
E-0019,P-002,Sustitución,51
E-0020,P-002,Sustitución,52
E-0021,P-002,Sustitución,56
E-0022,P-002,Sustitución,57
E-0023,P-002,Sustitución,58
E-0024,P-002,Sustitución,61
E-0025,P-002,Tarjeta Amarilla,64
E-0026,P-002,Sustitución,66
E-0027,P-002,Gol,72
E-0028,P-002,Tarjeta Amarilla,72
E-0029,P-002,Gol,89
E-0030,P-003,Tarjeta Amarilla,3
E-0031,P-003,Tarjeta Amarilla,31
E-0032,P-003,Sustitución,50
E-0033,P-003,Sustitución,52
E-0034,P-003,Tarjeta Amarilla,57
E-0035,P-003,Sustitución,59
E-0036,P-003,Sustitución,59
E-0037,P-003,Sustitución,61
E-0038,P-003,Sustitución,62
E-0039,P-003,Sustitución,65
E-0040,P-003,Sustitución,66
E-0041,P-003,Sustitución,66
E-0042,P-003,Sustitución,68
E-0043,P-003,Tarjeta Amarilla,80
E-0044,P-004,Tarjeta Amarilla,4
E-0045,P-004,Gol,8
E-0046,P-004,Tarjeta Amarilla,29
E-0047,P-004,Tarjeta Amarilla,49
E-0048,P-004,Sustitución,52
E-0049,P-004,Gol,52
E-0050,P-004,Sustitución,55
E-0051,P-004,Gol,59
E-0052,P-004,Sustitución,60
E-0053,P-004,Sustitución,63
E-0054,P-004,Gol,63
E-0055,P-004,Sustitución,66
E-0056,P-004,Sustitución,70
E-0057,P-004,Sustitución,73
E-0058,P-004,Tarjeta Amarilla,79
E-0059,P-004,Tarjeta Amarilla,90
E-0060,P-005,Gol,33
E-0061,P-005,Gol,40
E-0062,P-005,Gol,44
E-0063,P-005,Sustitución,46
E-0064,P-005,Gol,49
E-0065,P-005,Sustitución,53
E-0066,P-005,Gol,53
E-0067,P-005,Sustitución,55
E-0068,P-005,Sustitución,60
E-0069,P-005,Tarjeta Amarilla,60
E-0070,P-005,Sustitución,61
E-0071,P-005,Sustitución,65
E-0072,P-005,Tarjeta Amarilla,69
E-0073,P-005,Sustitución,71
E-0074,P-005,Sustitución,74
E-0075,P-005,Gol,87
E-0076,P-006,Tarjeta Amarilla,9
E-0077,P-006,Gol,33
E-0078,P-006,Sustitución,51
E-0079,P-006,Sustitución,53
E-0080,P-006,Sustitución,55
E-0081,P-006,Sustitución,59
E-0082,P-006,Sustitución,60
E-0083,P-006,Sustitución,61
E-0084,P-006,Sustitución,67
E-0085,P-006,Sustitución,68
E-0086,P-006,Tarjeta Amarilla,68
E-0087,P-006,Sustitución,74
E-0088,P-006,Sustitución,75
E-0089,P-006,Gol,77
E-0090,P-006,Gol,78
E-0091,P-007,Gol,15
E-0092,P-007,Tarjeta Amarilla,23
E-0093,P-007,Tarjeta Amarilla,38
E-0094,P-007,Sustitución,46
E-0095,P-007,Sustitución,47
E-0096,P-007,Sustitución,48
E-0097,P-007,Sustitución,50
E-0098,P-007,Sustitución,54
E-0099,P-007,Sustitución,55
E-0100,P-007,Tarjeta Amarilla,60
E-0101,P-007,Sustitución,61
E-0102,P-007,Sustitución,62
E-0103,P-007,Tarjeta Amarilla,72
E-0104,P-008,Tarjeta Amarilla,8
E-0105,P-008,Gol,48
E-0106,P-008,Gol,48
E-0107,P-008,Sustitución,50
E-0108,P-008,Tarjeta Amarilla,51
E-0109,P-008,Sustitución,52
E-0110,P-008,Sustitución,53
E-0111,P-008,Sustitución,54
E-0112,P-008,Sustitución,60
