id,nombre,apellido,posicion,equipo_id
ALG-1,Tarek,Camara,Arquero,ALG
ALG-2,Tarek,Toure,Defensor,ALG
ALG-3,Idrissa,Adeyemi,Defensor,ALG
ALG-4,Nabil,Keita,Defensor,ALG
ALG-5,Nabil,Benali,Defensor,ALG
ALG-6,Cheikh,Sylla,Defensor,ALG
ALG-7,Sipho,Bamba,Defensor,ALG
ALG-8,Sipho,Traore,Defensor,ALG
ALG-9,Kofi,Bamba,Defensor,ALG
ALG-10,Tarek,Haddad,Mediocampista,ALG
ALG-11,Ibrahim,Adeyemi,Mediocampista,ALG
ALG-12,Kofi,Sylla,Arquero,ALG
ALG-13,Tendai,Ndiaye,Mediocampista,ALG
ALG-14,Nabil,Diallo,Mediocampista,ALG
ALG-15,Youssef,Mensah,Mediocampista,ALG
ALG-16,Sipho,Mokoena,Mediocampista,ALG
ALG-17,Oumar,Bamba,Mediocampista,ALG
ALG-18,Amadou,Bekele,Mediocampista,ALG
ALG-19,Hicham,Boateng,Mediocampista,ALG
ALG-20,Bakary,Ndiaye,Delantero,ALG
ALG-21,Tarek,Mokoena,Delantero,ALG
ALG-22,Ayoub,Keita,Delantero,ALG
ALG-23,Mamadou,Haddad,Arquero,ALG
ALG-24,Tendai,Osei,Delantero,ALG
ALG-25,Chiedozie,Nkemelu,Delantero,ALG
ALG-26,Amadou,Zerhouni,Delantero,ALG
ARG-1,Santiago,Ocampo,Arquero,ARG
ARG-2,Bruno,Zambrano,Defensor,ARG
ARG-3,Agustin,Maldonado,Defensor,ARG
ARG-4,Ignacio,Maldonado,Defensor,ARG
ARG-5,Camilo,Ocampo,Defensor,ARG
ARG-6,Emiliano,Ferreira,Defensor,ARG
ARG-7,Thiago,Bermudez,Defensor,ARG
ARG-8,Bruno,Paredes,Defensor,ARG
ARG-9,Joaquin,Maldonado,Defensor,ARG
ARG-10,Nahuel,Bustos,Mediocampista,ARG
ARG-11,Santiago,Cabrera,Mediocampista,ARG
ARG-12,Julio,Bermudez,Arquero,ARG
ARG-13,Franco,Bermudez,Mediocampista,ARG
ARG-14,Franco,Gimenez,Mediocampista,ARG
ARG-15,Matias,Ferreira,Mediocampista,ARG
ARG-16,Nahuel,Cabrera,Mediocampista,ARG
ARG-17,Diego,Quiroga,Mediocampista,ARG
ARG-18,Agustin,Paredes,Mediocampista,ARG
ARG-19,Matias,Peralta,Mediocampista,ARG
ARG-20,Alvaro,Rojas,Delantero,ARG
ARG-21,Rodrigo,Ocampo,Delantero,ARG
ARG-22,Ignacio,Villalba,Delantero,ARG
ARG-23,Agustin,Bustos,Arquero,ARG
ARG-24,Emiliano,Barrios,Delantero,ARG
ARG-25,Bruno,Villalba,Delantero,ARG
ARG-26,Diego,Ferreira,Delantero,ARG
AUS-1,Jihoon,Shin,Arquero,AUS
AUS-2,Hassan,Kim,Defensor,AUS
AUS-3,Sora,Shin,Defensor,AUS
AUS-4,Dongwon,Park,Defensor,AUS
AUS-5,Nasser,Choi,Defensor,AUS
AUS-6,Sora,Yamamoto,Defensor,AUS
AUS-7,Seojun,Ito,Defensor,AUS
AUS-8,Yusuf,Lee,Defensor,AUS
AUS-9,Seojun,Saito,Defensor,AUS
AUS-10,Ahmad,Kim,Mediocampista,AUS
AUS-11,Takumi,Watanabe,Mediocampista,AUS
AUS-12,Haruki,Nakamura,Arquero,AUS
AUS-13,Nasser,Jang,Mediocampista,AUS
AUS-14,Minjun,Ito,Mediocampista,AUS
AUS-15,Faisal,Aziz,Mediocampista,AUS
AUS-16,Haruki,Lee,Mediocampista,AUS
AUS-17,Bilal,Al Harbi,Mediocampista,AUS
AUS-18,Bilal,Yamamoto,Mediocampista,AUS
AUS-19,Hassan,Tanaka,Mediocampista,AUS
AUS-20,Hassan,Lee,Delantero,AUS
AUS-21,Sora,Al Harbi,Delantero,AUS
AUS-22,Omar,Rahimi,Delantero,AUS
AUS-23,Jihoon,Al Harbi,Arquero,AUS
AUS-24,Ahmad,Rahimi,Delantero,AUS
AUS-25,Jinwoo,Abbas,Delantero,AUS
AUS-26,Karim,Abbas,Delantero,AUS
AUT-1,Andreas,Bianchi,Arquero,AUT
AUT-2,Emil,Horvat,Defensor,AUT
AUT-3,Emil,Duarte,Defensor,AUT
AUT-4,Emil,Weber,Defensor,AUT
AUT-5,Nicolas,Vidal,Defensor,AUT
AUT-6,Rafael,Fischer,Defensor,AUT
AUT-7,Robin,Nowak,Defensor,AUT
AUT-8,Lucas,Hansen,Defensor,AUT
AUT-9,Jonas,Petrov,Defensor,AUT
AUT-10,Mateo,Silva,Mediocampista,AUT
AUT-11,Viktor,Marino,Mediocampista,AUT
AUT-12,Robin,Kovacs,Arquero,AUT
AUT-13,Jonas,Nowak,Mediocampista,AUT
AUT-14,Lucas,Nowak,Mediocampista,AUT
AUT-15,Leon,Nowak,Mediocampista,AUT
AUT-16,Lucas,Bianchi,Mediocampista,AUT
AUT-17,Milan,Novak,Mediocampista,AUT
AUT-18,Daniel,Hansen,Mediocampista,AUT
AUT-19,Andreas,Marino,Mediocampista,AUT
