partido_id,equipo_id,condicion
P-001,URU,Local
P-001,KSA,Visitante
P-002,ARG,Local
P-002,JOR,Visitante
P-003,PAR,Local
P-003,USA,Visitante
P-004,MEX,Local
P-004,CZE,Visitante
P-005,KOR,Local
P-005,RSA,Visitante
P-006,SUI,Local
P-006,BIH,Visitante
P-007,CAN,Local
P-007,QAT,Visitante
P-008,BRA,Local
P-008,HAI,Visitante
P-009,MAR,Local
P-009,SCO,Visitante
P-010,TUR,Local
P-010,AUS,Visitante
P-011,GER,Local
P-011,CUW,Visitante
P-012,ECU,Local
P-012,CIV,Visitante
P-013,NED,Local
P-013,TUN,Visitante
P-014,JPN,Local
P-014,SWE,Visitante
P-015,BEL,Local
P-015,NZL,Visitante
P-016,IRN,Local
P-016,EGY,Visitante
P-017,ESP,Local
P-017,CPV,Visitante
P-018,FRA,Local
P-018,IRQ,Visitante
P-019,SEN,Local
P-019,NOR,Visitante
P-020,AUT,Local
P-020,ALG,Visitante
P-021,POR,Local
P-021,COD,Visitante
P-022,COL,Local
P-022,UZB,Visitante
P-023,ENG,Local
P-023,GHA,Visitante
P-024,CRO,Local
P-024,PAN,Visitante
P-025,ITA,Local
P-025,CHN,Visitante
P-026,CHI,Local
P-026,NGA,Visitante
P-027,DEN,Local
P-027,CMR,Visitante
P-028,WAL,Local
P-028,PER,Visitante
P-029,POL,Local
P-029,MLI,Visitante
P-030,VEN,Local
P-030,CRC,Visitante
P-031,UKR,Local
P-031,NCL,Visitante
P-032,SRB,Local
P-032,OMA,Visitante
P-033,MEX,Local
P-033,RSA,Visitante
P-034,CZE,Local
P-034,KOR,Visitante
P-035,SUI,Local
P-035,QAT,Visitante
P-036,BIH,Local
P-036,CAN,Visitante
P-037,BRA,Local
P-037,SCO,Visitante
P-038,HAI,Local
P-038,MAR,Visitante
P-039,USA,Local
P-039,AUS,Visitante
P-040,PAR,Local
P-040,TUR,Visitante
P-041,GER,Local
P-041,CIV,Visitante
P-042,CUW,Local
P-042,ECU,Visitante
P-043,NED,Local
P-043,SWE,Visitante
P-044,TUN,Local
P-044,JPN,Visitante
P-045,BEL,Local
P-045,EGY,Visitante
P-046,NZL,Local
P-046,IRN,Visitante
P-047,ESP,Local
P-047,KSA,Visitante
P-048,CPV,Local
P-048,URU,Visitante
P-049,FRA,Local
P-049,NOR,Visitante
P-050,IRQ,Local
P-050,SEN,Visitante
P-051,ARG,Local
P-051,ALG,Visitante
P-052,JOR,Local
P-052,AUT,Visitante
P-053,POR,Local
P-053,UZB,Visitante
P-054,COD,Local
P-054,COL,Visitante
P-055,ENG,Local
P-055,PAN,Visitante
P-056,GHA,Local
P-056,CRO,Visitante
P-057,ITA,Local
P-057,NGA,Visitante
P-058,CHN,Local
P-058,CHI,Visitante
P-059,DEN,Local
P-059,PER,Visitante
P-060,CMR,Local
P-060,WAL,Visitante
P-061,POL,Local
P-061,CRC,Visitante
P-062,MLI,Local
P-062,VEN,Visitante
P-063,UKR,Local
P-063,OMA,Visitante
P-064,NCL,Local
P-064,SRB,Visitante
P-065,MEX,Local
P-065,KOR,Visitante
P-066,RSA,Local
P-066,CZE,Visitante
P-067,SUI,Local
P-067,CAN,Visitante
P-068,QAT,Local
P-068,BIH,Visitante
P-069,BRA,Local
P-069,MAR,Visitante
P-070,SCO,Local
P-070,HAI,Visitante
P-071,USA,Local
P-071,TUR,Visitante
P-072,AUS,Local
P-072,PAR,Visitante
P-073,GER,Local
P-073,ECU,Visitante
P-074,CIV,Local
P-074,CUW,Visitante
P-075,NED,Local
P-075,JPN,Visitante
P-076,SWE,Local
P-076,TUN,Visitante
P-077,BEL,Local
P-077,IRN,Visitante
P-078,EGY,Local
P-078,NZL,Visitante
P-079,ESP,Local
P-079,URU,Visitante
P-080,KSA,Local
P-080,CPV,Visitante
P-081,FRA,Local
P-081,SEN,Visitante
P-082,NOR,Local
P-082,IRQ,Visitante
P-083,ARG,Local
P-083,AUT,Visitante
P-084,ALG,Local
P-084,JOR,Visitante
P-085,POR,Local
P-085,COL,Visitante
P-086,UZB,Local
P-086,COD,Visitante
P-087,ENG,Local
P-087,CRO,Visitante
P-088,PAN,Local
P-088,GHA,Visitante
P-089,ITA,Local
P-089,CHI,Visitante
P-090,NGA,Local
P-090,CHN,Visitante
P-091,DEN,Local
P-091,WAL,Visitante
P-092,PER,Local
P-092,CMR,Visitante
P-093,POL,Local
P-093,VEN,Visitante
P-094,CRC,Local
P-094,MLI,Visitante
P-095,UKR,Local
P-095,SRB,Visitante
P-096,OMA,Local
P-096,NCL,Visitante
P-097,KOR,Local
P-097,BIH,Visitante
P-098,BRA,Local
P-098,PAR,Visitante
P-099,GER,Local
P-099,JPN,Visitante
P-100,BEL,Local
P-100,URU,Visitante
P-101,FRA,Local
P-101,ALG,Visitante
P-102,POR,Local
P-102,CRO,Visitante
P-103,ITA,Local
P-103,WAL,Visitante
P-104,POL,Local
P-104,SRB,Visitante
P-105,MEX,Local
P-105,QAT,Visitante
P-106,MAR,Local
P-106,AUS,Visitante
P-107,NED,Local
P-107,ECU,Visitante
P-108,ESP,Local
P-108,EGY,Visitante
P-109,ARG,Local
P-109,NOR,Visitante
P-110,ENG,Local
P-110,COL,Visitante
P-111,DEN,Local
P-111,CHN,Visitante
P-112,VEN,Local
P-112,OMA,Visitante
P-113,BRA,Local
P-113,BIH,Visitante
P-114,BEL,Local
P-114,GER,Visitante
P-115,FRA,Local
P-115,POR,Visitante
P-116,WAL,Local
P-116,POL,Visitante
P-117,MAR,Local
P-117,QAT,Visitante
P-118,ESP,Local
P-118,ECU,Visitante
P-119,ENG,Local
P-119,NOR,Visitante
P-120,DEN,Local
P-120,OMA,Visitante
P-121,BRA,Local
P-121,GER,Visitante
P-122,POR,Local
P-122,POL,Visitante
P-123,ESP,Local
P-123,MAR,Visitante
P-124,ENG,Local
P-124,DEN,Visitante
P-125,GER,Local
P-125,POL,Visitante
P-126,ENG,Local
P-126,MAR,Visitante
P-127,ENG,Local
P-127,GER,Visitante
