id,fase,grupo,fecha,sede_id
P-001,Grupos,H,2030-06-08,S-01
P-002,Grupos,J,2030-06-09,S-02
P-003,Grupos,D,2030-06-10,S-03
P-004,Grupos,A,2030-06-11,S-04
P-005,Grupos,A,2030-06-11,S-05
P-006,Grupos,B,2030-06-11,S-06
P-007,Grupos,B,2030-06-11,S-07
P-008,Grupos,C,2030-06-11,S-08
P-009,Grupos,C,2030-06-11,S-09
P-010,Grupos,D,2030-06-11,S-11
P-011,Grupos,E,2030-06-12,S-12
P-012,Grupos,E,2030-06-12,S-13
P-013,Grupos,F,2030-06-12,S-14
P-014,Grupos,F,2030-06-12,S-15
P-015,Grupos,G,2030-06-12,S-16
P-016,Grupos,G,2030-06-12,S-17
P-017,Grupos,H,2030-06-12,S-18
P-018,Grupos,I,2030-06-13,S-20
P-019,Grupos,I,2030-06-13,S-04
P-020,Grupos,J,2030-06-13,S-06
P-021,Grupos,K,2030-06-13,S-07
P-022,Grupos,K,2030-06-13,S-08
P-023,Grupos,L,2030-06-13,S-09
P-024,Grupos,L,2030-06-13,S-10
P-025,Grupos,M,2030-06-14,S-11
P-026,Grupos,M,2030-06-14,S-12
P-027,Grupos,N,2030-06-14,S-13
P-028,Grupos,N,2030-06-14,S-14
P-029,Grupos,O,2030-06-14,S-15
P-030,Grupos,O,2030-06-14,S-16
P-031,Grupos,P,2030-06-14,S-17
P-032,Grupos,P,2030-06-14,S-18
P-033,Grupos,A,2030-06-16,S-04
P-034,Grupos,A,2030-06-16,S-05
P-035,Grupos,B,2030-06-16,S-06
P-036,Grupos,B,2030-06-16,S-07
P-037,Grupos,C,2030-06-16,S-08
P-038,Grupos,C,2030-06-16,S-09
P-039,Grupos,D,2030-06-16,S-10
P-040,Grupos,D,2030-06-16,S-11
P-041,Grupos,E,2030-06-17,S-12
P-042,Grupos,E,2030-06-17,S-13
P-043,Grupos,F,2030-06-17,S-14
P-044,Grupos,F,2030-06-17,S-15
P-045,Grupos,G,2030-06-17,S-16
P-046,Grupos,G,2030-06-17,S-17
P-047,Grupos,H,2030-06-17,S-18
P-048,Grupos,H,2030-06-17,S-19
P-049,Grupos,I,2030-06-18,S-20
P-050,Grupos,I,2030-06-18,S-04
P-051,Grupos,J,2030-06-18,S-05
P-052,Grupos,J,2030-06-18,S-06
P-053,Grupos,K,2030-06-18,S-07
P-054,Grupos,K,2030-06-18,S-08
P-055,Grupos,L,2030-06-18,S-09
P-056,Grupos,L,2030-06-18,S-10
P-057,Grupos,M,2030-06-19,S-11
P-058,Grupos,M,2030-06-19,S-12
P-059,Grupos,N,2030-06-19,S-13
P-060,Grupos,N,2030-06-19,S-14
P-061,Grupos,O,2030-06-19,S-15
P-062,Grupos,O,2030-06-19,S-16
P-063,Grupos,P,2030-06-19,S-17
P-064,Grupos,P,2030-06-19,S-18
P-065,Grupos,A,2030-06-21,S-04
P-066,Grupos,A,2030-06-21,S-05
P-067,Grupos,B,2030-06-21,S-06
P-068,Grupos,B,2030-06-21,S-07
P-069,Grupos,C,2030-06-21,S-08
P-070,Grupos,C,2030-06-21,S-09
P-071,Grupos,D,2030-06-21,S-10
P-072,Grupos,D,2030-06-21,S-11
P-073,Grupos,E,2030-06-22,S-12
P-074,Grupos,E,2030-06-22,S-13
P-075,Grupos,F,2030-06-22,S-14
P-076,Grupos,F,2030-06-22,S-15
P-077,Grupos,G,2030-06-22,S-16
P-078,Grupos,G,2030-06-22,S-17
P-079,Grupos,H,2030-06-22,S-18
P-080,Grupos,H,2030-06-22,S-19
P-081,Grupos,I,2030-06-23,S-20
P-082,Grupos,I,2030-06-23,S-04
P-083,Grupos,J,2030-06-23,S-05
P-084,Grupos,J,2030-06-23,S-06
P-085,Grupos,K,2030-06-23,S-07
P-086,Grupos,K,2030-06-23,S-08
P-087,Grupos,L,2030-06-23,S-09
P-088,Grupos,L,2030-06-23,S-10
