evento_id,jugador_id,rol
E-0001,URU-10,autor
E-0001,URU-21,asistencia
E-0002,URU-22,amonestado
E-0003,URU-11,amonestado
E-0004,KSA-25,sale
E-0004,KSA-18,entra
E-0005,KSA-5,sale
E-0005,KSA-9,entra
E-0006,KSA-24,autor
E-0006,KSA-14,asistencia
E-0007,KSA-2,sale
E-0007,KSA-7,entra
E-0008,URU-22,sale
E-0008,URU-25,entra
E-0009,KSA-20,sale
E-0009,KSA-21,entra
E-0010,KSA-9,amonestado
E-0011,URU-10,autor
E-0011,URU-16,asistencia
E-0012,URU-20,sale
E-0012,URU-13,entra
E-0013,KSA-14,sale
E-0013,KSA-8,entra
E-0014,URU-5,sale
E-0014,URU-8,entra
E-0015,URU-10,amonestado
E-0016,ARG-4,autor
E-0016,ARG-26,asistencia
E-0017,JOR-15,sale
E-0017,JOR-17,entra
E-0018,ARG-4,sale
E-0018,ARG-9,entra
E-0019,JOR-20,sale
E-0019,JOR-22,entra
E-0020,ARG-5,sale
E-0020,ARG-8,entra
E-0021,JOR-4,sale
E-0021,JOR-2,entra
E-0022,ARG-14,sale
E-0022,ARG-13,entra
E-0023,ARG-2,sale
E-0023,ARG-25,entra
E-0024,JOR-11,sale
E-0024,JOR-16,entra
E-0025,ARG-10,amonestado
E-0026,JOR-10,sale
E-0026,JOR-26,entra
E-0027,ARG-26,autor
E-0027,ARG-10,asistencia
E-0028,JOR-9,amonestado
E-0029,ARG-24,autor
E-0029,ARG-13,asistencia
E-0030,USA-3,amonestado
E-0031,PAR-17,amonestado
E-0032,USA-20,sale
E-0032,USA-25,entra
E-0033,USA-2,sale
E-0033,USA-26,entra
E-0034,PAR-3,amonestado
E-0035,PAR-6,sale
E-0035,PAR-7,entra
E-0036,USA-3,sale
E-0036,USA-7,entra
E-0037,PAR-22,sale
E-0037,PAR-21,entra
E-0038,PAR-24,sale
E-0038,PAR-20,entra
E-0039,PAR-14,sale
E-0039,PAR-18,entra
E-0040,PAR-25,sale
E-0040,PAR-11,entra
E-0041,USA-4,sale
E-0041,USA-8,entra
E-0042,USA-21,sale
E-0042,USA-15,entra
